"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"86",86,"Base_Test1_205","Test1",1,20,"right","female","1","16","Word vs In FW","padoti.wav","tudoti.wav",NA,4,1.07074586855259,"Familiar",1,30,1501,1,"Initial","Word vs FW",1.41904454486766
"87",87,"Base_Test1_205","Test1",1,20,"right","female","5","38","PW vs In FW","tudaku.wav","bubida.wav",1,2,-0.266109272601177,"Familiar",1,31,1008,0,"Initial","PW vs FW",2.41904454486766
"88",88,"Base_Test1_205","Test1",1,20,"right","female","5","26","Word vs Fin FW","bidaro.wav","bidaku.wav",NA,2,-0.257955755918198,"Familiar",5,32,1190,1,"Final","Word vs FW",3.41904454486766
"89",89,"Base_Test1_205","Test1",1,20,"right","female","5","27","Word vs Fin FW","tupiti.wav","tupiro.wav",NA,3,1.35174727276499,"Familiar",5,33,1580,1,"Final","Word vs FW",4.41904454486766
"90",90,"Base_Test1_205","Test1",1,20,"right","female","5","12","Word vs In FW","godoti.wav","padoti.wav",NA,4,-0.355968481618047,"Familiar",1,34,1696,0,"Initial","Word vs FW",5.41904454486766
"91",91,"Base_Test1_205","Test1",1,20,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Familiar",1,35,1048,0,NA,"Word vs PW",6.41904454486766
"92",92,"Base_Test1_205","Test1",1,20,"right","female","5","10","Word vs In FW","godaku.wav","bidaku.wav",NA,2,0.781961875630439,"Familiar",1,36,1034,0,"Initial","Word vs FW",7.41904454486766
"93",93,"Base_Test1_205","Test1",1,20,"right","female","5","53","PW vs Fin FW","golaku.wav","kugola.wav",1,1,-1.34526988854491,"Familiar",1,37,1392,0,"Final","PW vs FW",8.41904454486766
"94",94,"Base_Test1_205","Test1",1,20,"right","female","5","47","PW vs Med FW","tudoro.wav","butupi.wav",1,3,0.291753243007115,"Familiar",5,38,2648,1,"Medial","PW vs FW",9.41904454486766
"95",95,"Base_Test1_205","Test1",1,20,"right","female","1","35","PW vs In FW","piropa.wav","gopiro.wav",2,3,-0.275458580478951,"Familiar",5,39,2144,0,"Initial","PW vs FW",10.4190445448677
"96",96,"Base_Test1_205","Test1",1,20,"right","female","5","39","PW vs In FW","papiro.wav","titupi.wav",1,3,1.07074586855259,"Familiar",5,40,1226,1,"Initial","PW vs FW",11.4190445448677
"97",97,"Base_Test1_205","Test1",1,20,"right","female","1","24","Word vs Med FW","padoti.wav","padati.wav",NA,4,-1.38984163125101,"Familiar",1,41,2067,1,"Medial","Word vs FW",12.4190445448677
"98",98,"Base_Test1_205","Test1",1,20,"right","female","1","22","Word vs Med FW","bidaku.wav","bipiku.wav",NA,2,1.14212436080289,"Familiar",5,42,1820,0,"Medial","Word vs FW",13.4190445448677
"99",99,"Base_Test1_205","Test1",1,20,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Familiar",5,43,1228,1,NA,"Word vs PW",14.4190445448677
"100",100,"Base_Test1_205","Test1",1,20,"right","female","5","20","Word vs Med FW","papiti.wav","padoti.wav",NA,4,0.291753243007115,"Familiar",5,44,1617,1,"Medial","Word vs FW",15.4190445448677
