"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"74",9371,"Base_SNL_1208","SNL",2,19,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,26,1322,1,NA,"Word vs PW",-2.58095545513234
"75",9372,"Base_SNL_1208","SNL",2,19,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,36,1098,1,NA,"Word vs PW",7.41904454486766
"76",9373,"Base_SNL_1208","SNL",2,19,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,39,968,1,NA,"Word vs PW",10.4190445448677
"77",9374,"Base_SNL_1208","SNL",2,19,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,44,1802,1,NA,"Word vs PW",15.4190445448677
"78",9375,"Base_SNL_1208","SNL",2,19,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",5,47,1296,0,NA,"Word vs PW",18.4190445448677
"79",9376,"Base_SNL_1208","SNL",2,19,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,53,2284,0,NA,"Word vs PW",24.4190445448677
"80",9377,"Base_SNL_1209","SNL",1,29,"left","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,9,1425,1,NA,"Word vs PW",-19.5809554551323
"81",9378,"Base_SNL_1209","SNL",1,29,"left","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,11,1683,1,NA,"Word vs PW",-17.5809554551323
"82",9379,"Base_SNL_1209","SNL",1,29,"left","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,22,1531,1,NA,"Word vs PW",-6.58095545513234
"83",9380,"Base_SNL_1209","SNL",1,29,"left","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,34,1905,1,NA,"Word vs PW",5.41904454486766
"84",9381,"Base_SNL_1209","SNL",1,29,"left","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,39,1989,0,NA,"Word vs PW",10.4190445448677
"85",9382,"Base_SNL_1209","SNL",1,29,"left","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,40,2842,1,NA,"Word vs PW",11.4190445448677
"86",9383,"Base_SNL_1209","SNL",1,29,"left","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,46,1725,1,NA,"Word vs PW",17.4190445448677
